Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
SEA TPI,contact@seatpi.fr,+33 4 42 98 11 30,Engaged in the provision of computer support and consultancy services,Autres services,J - Information et communication
SA LE BERRY REPUBLICAIN,promotion-ventes.berry@centrefrance.com,+33 2 48 27 63 63,Engaged in the publishing of newspapers,"Edition, impression",J - Information et communication
TRANSPALUX,transpalux@transpalux.com,+33 1 46 13 92 28,"Specializes in film, TV and video production",Autres services,J - Information et communication
ALTER SOLUTIONS,recrutement@alter-solutions.com,+33 1 39 24 89 50,Engaged in the provision of engineering services,Autres services,J - Information et communication
KELKOO,contact@kelkoo.fr,+33 1 70 91 17 00,Engaged in online marketing of consumer products,Autres services,J - Information et communication
LES IMAGES,gie.gccl@wanadoo.fr,+33 1 64 60 20 74,Engaged in the activities of film or movie production,Autres services,J - Information et communication
REALISATION DE SYSTEMES INFORMATIQUES INTEGRES - RS21,contact@rs2i.fr,+33 1 41 06 61 30,"Engaged in providing business process management, content management, electronic document management, and audiovisual document and archive management solutions",Autres services,J - Information et communication
SISTEER TELECOM ENABLER,contact@sisteer.com,+33 1 70 95 51 00,Applications and solutions developer for telecom information systems [source: Bureau van Dijk],Autres services,J - Information et communication
SEDONA,contact@sedona.fr,+33 1 44 94 89 90,"Engaged in the development, integration and production launch of new applications related to Internet and no third architectures; and other related solutions",Autres services,J - Information et communication
IMMANENS,info@immanens.com,+33 1 82 72 90 10,,Autres services,J - Information et communication
CALMANN LEVY,contact@calmann-levy.fr,+33 1 49 54 36 00,Engaged in the publication of magazines and other related articles,"Edition, impression",J - Information et communication
I R E C,info@irec.fr,+33 5 49 62 88 88,Primarily engaged in providing global ticketing solutions,Autres services,J - Information et communication
SAS FLOW LINE,contact@flowline.fr,+33 4 72 14 92 50,Engaged in the provision of information technologh (IT) services in France,Autres services,J - Information et communication
SELLIGENT FRANCE,info.fr@selligent.com,+33 1 44 68 10 70,Engaged in the provision of CRM solutions (Customer Relationship Management),"Edition, impression",J - Information et communication
MIDI OLYMPIQUE SAS,abonnements@midi-olympique.fr,+33 5 62 11 33 00,Publishing and printing of journals and periodicals,"Edition, impression",J - Information et communication
OSMOZIUM,contact@osmozium.com,+33 1 46 03 99 92,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
EUROXA,fgille@exa.com,+33 1 44 45 66 00,"Engaged in providing fluid flow simulation and consulting services to design and engineering clients throughout North America, Europe, and Asia",Autres services,J - Information et communication
DL SANTE,info@dlsante.fr,+33 1 46 11 03 00,Engaged in software editing for medical labs,"Edition, impression",J - Information et communication
JCD COMMUNICATION,jcd@jcd-groupe.fr,,Engaged in the provision of computer related services in France,Autres services,J - Information et communication
BRAGELONNE BRAGELONNE FANTASY LAB 6 SEXPV PROG-6,club@bragelonne.fr,,,"Edition, impression",J - Information et communication
C B A,accueil@cba.fr,+33 3 20 12 12 12,Engaged in the provision of computer related services in France,Autres services,J - Information et communication
EOS ITS,info@eos-its.fr,+33 1 56 43 69 00,"Provides computer systems design and consultancy, and other computer related services",Autres services,J - Information et communication
AIS,contact@groupeais.fr,+33 2 51 80 79 39,Engaged in the provision of computer software consultancy services,Autres services,J - Information et communication
CHERCHONS COM,info@cherchons.com,+33 4 76 08 26 86,"Engaged in providing online information retrieval services; and writing, modifying, testing, and supporting of software to meet the needs of a particular customer",Autres services,J - Information et communication
BAYARD SERVICE EDITION,bse-nord@bayard-service.com,+33 3 20 13 36 80,Engaged in publishing and printing newspapers,"Edition, impression",J - Information et communication
INVIVOO,contact@invivoo.com,+33 1 43 34 17 42,Which acts as a computer systems consultant specializes in developing business consulting and software solutions,Autres services,J - Information et communication
UBISOFT ANNECY,xavier.poix@ubisoft.com,+33 4 50 10 93 40,Engaged in motion picture and video production,Autres services,J - Information et communication
MAKING PROD,contact@makingprod.com,,Engaged in motion picture and video production,Autres services,J - Information et communication
CHRONOSERVICES,contact@imprimerienationale.fr,+33 1 40 58 30 30,"Engaged in the design, manufacture, issue and manage smart cards associated with the electronic tachograph",Autres services,J - Information et communication
STARLING,info@starling.fr,+33 1 53 68 44 00,Engaged in the production of television programs,Autres services,J - Information et communication
ELEKTROBIT FRANCE,ebfrance@elektrobit.com,+33 1 39 76 08 14,,Autres services,J - Information et communication
XILAM ANIMATION,infosgenerales@xilam.com,+33 1 4018 7200,The Company is specialized in the production of series and animated programs.,Autres services,J - Information et communication
CAPITAL BANKING SOLUTIONS,info@capital-banking.com,+33 1 44 43 44 66,"Engaged in the provision of end-to-end, integrated banking software","Edition, impression",J - Information et communication
MYSCRIPT,webcontact@myscript.com,+33 2 28 01 49 50,Engaged in providing technology solutions for handwriting recognition and digital ink management,"Edition, impression",J - Information et communication
IDEAT EDITIONS,contact@ideat.fr,+33 1 44 75 79 40,"Primarily engaged in the publishing of magazines, journals and periodicals","Edition, impression",J - Information et communication
ARC INFORMATIQUE,arcnews@arcinfo.com,+33 1 41 14 36 00,"Engaged in the provision of computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
COMPAGNIE DES PHARES ET BALISES,info@phares-balises.fr,+33 1 44 75 11 33,"Engaged in the production, distribution and marketing of motion picture and video films",Autres services,J - Information et communication
INVOKE,contact@invoke.fr,+33 1 42 68 85 60,Engaged in the provision of computer related consulting services,"Edition, impression",J - Information et communication
D 2 S I,contact@d2-si.eu,+33 1 43 12 10 80,Engaged in computer programming activities and computer systems design services,Autres services,J - Information et communication
LE REVENU FRANCAIS EDITIONS,redaction@lerevenu.com,+33 1 49 29 30 00,Printing and publication of journals and periodicals,"Edition, impression",J - Information et communication
AEROW,job@aerow.fr,+33 1 42 25 29 31,Engaged in the provision of computer programming services,Autres services,J - Information et communication
TRANSTELE - CANAL FRANCE INTERNATIONAL,accueil@cfi.fr,+33 1 40 62 32 32,Operates as an international broadcasting firm,Autres services,J - Information et communication
AS INTERNATIONAL,as@asinter-group.com,+33 1 44 51 05 51,Operates as a service firm and management consultancy services,Autres services,J - Information et communication
BUSINESS & DECISION INTERACTIVE EOLAS,contact@eolas.fr,+33 4 76 44 50 50,Specializes in providing international web communication and hosting services,Autres services,J - Information et communication
LA MANCHE LIBRE,administration@lamanchelibre.com,+33 2 33 05 10 00,Engaged in the publishing and printing of newspapers in France,"Edition, impression",J - Information et communication
SECIB,message@secib.fr,+33 4 99 53 21 90,"Provides training, and training in maintenance of IT infrastructure maintenance","Edition, impression",J - Information et communication
SINEQUA,info@sinequa.com,+33 1 70 08 71 71,"Engaged in the provision of computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
AXONES,contact@axones.com,+33 1 71 03 15 00,"Engaged in the provision of integration and technology consulting services, providing assistance to project owners, technical expertise in application architecture, from project management, and integration of outsourcing",Autres services,J - Information et communication
TAGG INFORMATIQUE,taggclient@tagginfo.com,+33 4 79 34 31 00,"Producer and supplier of inkjet printers, lasers and ink cartridges",Autres services,J - Information et communication
EVERWIN,info@everwin.fr,+33 1 69 78 14 14,"Engaged in the provision of computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
M G I CONSULTANTS,marketing@mgi.fr,+33 1 53 53 41 00,Engaged in the provision of computer system design and management,Autres services,J - Information et communication
BANCTEC BUSINESS OUTSOURCING,marketing@banctec.fr,+33 1 64 76 20 00,,Autres services,J - Information et communication
JALIS,administratif@jalis.fr,+33 4 91 35 70 01,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
EDITIONS PICCOLIA,info@editions-piccolia.fr,+33 1 69 02 60 30,Engaged in the publishing of books,"Edition, impression",J - Information et communication
